NRO.;NOMBRE DE LA EMPRESA;RUBRO;DIRECCION;DEPARTAMENTO ;CONTACTO;CORREO ELECTRONICO;PAGINA WEB;
14;A NEW BEGINNING S.R.L.;"TRANSPORTE POR VÍA TERRESTRE; (CONDUCCIÓN - CHOFERES), DE CARGAS A NIVEL NACIONAL E INTERNACIONAL";C. 1 #231 Z. SEGÜENCOMA;La Paz;No Brinda esta informacion;No Disponible;No disponible;
15;A TODO CHANCHO;HOTELES, RESTAURANTES, BARES, SERVICIOS VINCULADOS (CAMARERAS, BARMAN, GARZONES, ADMINISTRACIION HOTELERA);Ed. Alameda Mezanine B Of. 9;La Paz;Elizabeth Mamani;no brinda esta informacion;www.atodochancho.com;
16;A TODO CHANCHO;HOTELES, RESTAURANTES, BARES, SERVICIOS VINCULADOS (CAMARERAS, BARMAN, GARZONES, ADMINISTRACIION HOTELERA);Z. Miraflores Av. Saavedra Nº. 2350;La Paz;No brinda este dato;info@atodochancho.com;www.atodochancho.com;
17;A TODO CHANCHO;HOTELES, RESTAURANTES, BARES, SERVICIOS VINCULADOS (CAMARERAS, BARMAN, GARZONES, ADMINISTRACIION HOTELERA);Av. 16 de Julio el Prado Ed. Alameda PB. local 11 delibery;La Paz;No brinda este dato;info@atodochancho.com;www.atodochancho.com;
18;A TODO CHANCHO SRL;HOTELES, RESTAURANTES, BARES, SERVICIOS VINCULADOS (CAMARERAS, BARMAN, GARZONES, ADMINISTRACIION HOTELERA);Av. Saavedra N°. 2350;La Paz;Eliana Herbas;elianahervas@yahoo.es;Sitio Web No disponible;
19;A TODO VOLUMEN;LOCUCIÓN Y PRODUCCIÓN RADIOFÓNICA COMPUTARIZADA;Av. General Lanza N°. 1921;La Paz;Macario Cruz P.;atodovol@yahoo.com;no disponible;
20;A TODO VOLUMEN OROS LOUP JAVIER DOUGLAS;ACTIVIDADES FINANCIERA, BOLSAS DE VALORES, CASAS DE CAMBIO;Av. Gral. Lanza Nº. 1921;La Paz;Macario Cruz;atodovol@yahoo.com;Sitio Web No disponible;
21;A.C. CERUZ (PROYECTOS - OBRAS CIVILES Y CONSTRUCCIONES );INGENIEROS (CONTRUCCIÓN DE INFRAESTRUCTURA VIAL PÚBLICA Y PRIVADA);Z. Pampahasi Bajo C. 9 Esq. Circunvalacion N° 50;La Paz;No Disponible;arq. jorge cerezo@hotmail.com;No Disponible;
22;A.G.C. S.R.L. CONSULTORA EN COMERCIO EXTERIOR;"TRANSPORTE POR VÍA TERRESTRE; (CONDUCCIÓN - CHOFERES), DE CARGAS A NIVEL NACIONAL E INTERNACIONAL";C. Abdón Saavedra Nº. 1925 casi Esq. Landaeta;La Paz;Torrico;agc@entelnet.bo;www.agc.com.bo;
23;A.G.C. S.R.L. CONSULTORIA EN COMERCIO EXTERIOR;ASESORAMIENTO EN EXPORTACIONES;C. Abdón Saavedra Nº. 1925 Edificio Los Laureles P.B. Of. Nº. 1 Zona Sopocachi;La Paz;Mirtha Villagomez Hurtado,;gerencia@agc.com.bo administracion@agc.com.bo;www.agc.com.bo/empresa.php;
24;A.T.I. INFORMATICA LTDA.;INFORMATICA Y ACTIVIDADES CONEXAS (ANALISTA, PROGRAMADOR, PAQUETES, APLICACIONES, ACCESS COMPLETO,VISUAL FOXPRO, SQL SEVER,ADMINISTRACIÓN -SQL, REDES);C. Otero de la Vega Esq. 20 de Octubre Nº. 373, P.2;La Paz;Eduardo Arzabe Vasquez;ati@caoba.entelnet.bo;Sitio Web No disponible;
25;AARON SERVICE;EXTRACCIÓN DE PETROLEO CRUDO, GAS NATURAL, ACTIVIDADES RELACIONADAS;Z. Rio Seco Av.juan Lechin Oquendo N° 809;La Paz;No Disponible;paticita_701@hotmail.com;No Disponible;
26;ABA ASOCIACIÓN BOLIVIANA DE ASEGURADORAS;FINANCIACIÓN DE PLANES DE SEGUROS Y PENSIONES;C. Loayza Nº. 250, Ed. Castilla P. 5 Of. 510;La Paz;No brinda este dato;info@ababolivia.org;www.ababolivia.org;
27;ABACOS LTDA.ASIST.BASICA EN COMPUT.Y SISTEMAS;NO IDENTIFICADO EL TIPO;Av. 14 Septiembre 4655 Ed. Milenio P1 Of. 104 (Obrajes);La Paz;Ing. Oscar R.Gumucio Fern ndez;ventas@abacosltda.com;www.abacosltda.com;
28;ABARROTES;DISTRIBUCION, IMPORTACIÓN, VENTAS DE DIFERENTES PRODUCTOS, MATERIA PRIMA PARA DIFERENTES EMPRESAS;C. Boqueron # 1058 Zona San Pedro;La Paz;No Disponible;No Disponible;No Disponible;
29;ABC COLOR;Feria en gral. ventas, contactos, exposiciones, tecnología, ofertas, rueda de negocios, entre otros;Calle loayza n°250;La Paz;no brinda informacion;suc.castilla@abc.colo.com;no brinda infromacion;
30;ABC DIGITAL;FABRICACIÓN DE INSTRUMENTOS MÉDICOS, ÓPTICOS Y DE PRECISION, EQUIPO FOTOGRÁFICO Y RELOJES;Z. Central C. Loayza Nº 522;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
31;ABEJAS J & A - CEREALES DE QUINUA;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS, REPOSTERIA, PANADERIA, PASTELERIA Y BEBIDAS;Zona Norte - Calle Catacora Esq. Jenaro Sanjines;La Paz;No brinda información;alecita_nice24@hotmail.com;No brinda información;
32;ABEJITAS J&A;PEQUEÑAS Y MEDIANAS EMPRESAS;c. Yanacocha #1600;La Paz;Alejandro Salinas;alecita_nice24@hotmail.com;no brinda esta informacion;
33;ABEL;CUERO - CALZADOS - CHAMARRAS;Z. Rosario Av. Pasaje Ortega No. 6;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
34;ABL PHARMA (BOLIVIA) LTDA.;IMPORTACION, EXPORTACION O FABRICACIÓN DE SUSTANCIAS Y PRODUCTOS QUIMICOS (PESTICIDAS, PINTURAS, BARNICES,PROD. FARMACEUTICOS, COSMÉTICOS, JABONES, DETERGENTES, PERFUMES);Av. García Lanza Esq. C. 20 Achumani;La Paz;Marco Soria / Gisela Telleria;gleyton@ablpharma.com - gisela.telleria@ablpharma.com;www.ablpharma.com;
35;ABOGADA;ADMINISTRACION PÚBLICA (LEY SAFCO, MUNICIPALIDAD);Z. San Pedro C. 20 de Octubre Nº 2016;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
36;ABOGADO;NO IDENTIFICADO EL TIPO;Z. Cruce Villa Copacabana Av. Esteban Arce No. 1842;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
37;ABOGADOS Y ASESORES FINANCIEROS DE BOLIVIA;ACTIVIDADES EMPRESARIALES, Y FINANCIERAS (MARKETIN, SECRETARIALES, DE PERSONAL, JURÍDICAS, CONTABLES, DE IMPUESTOS, GESTIÓN, ASESORAMIENTO, PUBLICIDAD);Z. Calacoto, Av. Sánchez Bustamante Nº. 7977 Esq. C. 13, Ed. Calacoto Business Center P. 3, Of. 2;La Paz;No brinda este dato;No brinda este dato;www.aafsrl.com;
38;ABREGO MULTIMEDIA;NO IDENTIFICADO EL TIPO;C. ACASA # 489 URB. V. LA MERCED Z. CALACATO;La Paz;No Brinda esta informacion;abregomultimedia@yahoo.es;No disponible;
39;ABRIL;ACTIVIDADES DE EDICIÓN E IMPRESIÓN Y DE REPRODUCCIÓN DE GRABACIONES (LIBROS, FOLLETOS PERIÓDICOS) Y ACTIVIDADES RELACIONADAS;Z. Cementerio Av. Baptista Nº. 861;La Paz;No brinda este dato;abril-jj@hotmail.com;Sitio Web No disponible;
40;ABT ASOCIADOS;ACTIVIDADES EMPRESARIALES, Y FINANCIERAS (MARKETIN, SECRETARIALES, DE PERSONAL, JURÍDICAS, CONTABLES, DE IMPUESTOS, GESTIÓN, ASESORAMIENTO, PUBLICIDAD);Z. Centro C. Ingavi Nª 1018;La Paz;No brinda este dato;No Disponible;No Disponible;
41;ACACIA;NO IDENTIFICADO EL TIPO;C. Ingavi - Plaza Murillo Nº. 1024;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
42;ACAD (CONSTRUCCIONES ARQUITECTURA & DISEÑO);INGENIEROS (CONTRUCCIÓN DE INFRAESTRUCTURA VIAL PÚBLICA Y PRIVADA);Z. Villa Tunari C. 21 N° 25;La Paz;No Disponible;No Disponible;No Disponible;
43;"ACADEMIA DE AUTOMOVILISMO ""INDIANÁPOLIS""";"TRANSPORTE POR VÍA TERRESTRE; (CONDUCCIÓN - CHOFERES), DE CARGAS A NIVEL NACIONAL E INTERNACIONAL";Perez Velasco N°. 860 Z. Central;La Paz;no brinda esta informacón;licenciastransito@hotmail.com;Sitio Web No disponible;
44;"ACADEMIA DE AUTOMOVILISMO ""INDIANÁPOLIS""";"TRANSPORTE POR VÍA TERRESTRE; (CONDUCCIÓN - CHOFERES), DE CARGAS A NIVEL NACIONAL E INTERNACIONAL";Pérez Velasco N°. 860 Z. Central;La Paz;No brinda este dato;licenciastransito@hotmail.com;Sitio Web No disponible;
45;"ACADEMIA DE FORMACIÓN PROFESIONAL EN BELLEZA Y COSMETOLOGÍA ""WELLA""";OTRAS ACTIVIDADES DE SERVICIOS (LIMPIEZAS, PELUQUERIAS, COSMETOLOGÍA, MODELAJE);Av. Antofagasta Nº. 1101. Villa Dolores Sucursal Av. America N°. 119 casi Esq, Figueroa;La Paz;no brinda esta informacón;no brinda esta información;no brinda esta información;
46;ACADEMIA DE FUTBOL CLUB BOLIVAR;NO IDENTIFICADO EL TIPO;AV. HERNANDO SILES ESQ. C. 17 GRAN CENTRO MARIO MERCADO Z. OBRAJES;La Paz;No Brinda esta informacion;No Disponible;www.clubbolivar.com;
47;ACADEMIA DE FUTBOL LA PAZ FUTBOL CLUB;NO IDENTIFICADO EL TIPO;AV. SANCHEZ BUSTAMANTE #504 Z. CALACOTO;La Paz;No Brinda esta informacion;No Disponible;www.lapazfutbolclub.com;
48;ACADEMIA DE FUTBOL THE STRONGEST;NO IDENTIFICADO EL TIPO;C. SARDON S/N MDO. YUNGAS Z.MIRAFLORES;La Paz;No Brinda esta informacion;No Disponible;www.clubthestrongest.com;
49;"ACADEMIA DE INTEGRACION Y DIPLOMACIA ""AID S.R.L.";EDUCACION FORMAL y NO FORMAL (NIVELACION,IDIOMAS, MUSICA, DANZA, NATACION Y OTROS);C. Juan de la Riva Esq. Loayza Nº. 1406, Ed. Alborada, Piso 9, Of. 902;La Paz;Hugo Alvarado Aguilar;no brinda información;www.aid.edu.bo/;
50;ACADEMIA DE MUSICA YESHUA;EDUCACION FORMAL y NO FORMAL (NIVELACION,IDIOMAS, MUSICA, DANZA, NATACION Y OTROS);C. Figueroa Nº. 722 Segundo Piso;La Paz;no brinda esta informacón;no brinda esta información;no brinda esta información;
51;ACADEMIA ELITE;ACTIVIDADES DE ESPARCIMIENTO, CULTURALES Y DEPORTIVAS (COMUNICACIÓN SOCIAL, PERIODISMOS, RADIO, TV, TEATRO, MÚSICA, DEPORTES);Av Bush #47 (Plaza Villarroel);La Paz;Virginia Galarza;academiaelite1@hotmail.com;no brinda esta informacion;
52;ACADEMIA METROPOLIS;ACTIVIDADES DE ESPARCIMIENTO, CULTURALES Y DEPORTIVAS (COMUNICACIÓN SOCIAL, PERIODISMOS, RADIO, TV, TEATRO, MÚSICA, DEPORTES);Av Bush #47 (Plaza Villarroel);La Paz;Carlos Aguilar;car_rock79@hotmail.com;www.metropolis_b.com;
53;ACADEMIA SUPERIOR DE MUSICA HELIOS;EDUCACIÓN (FORMAL, NO FORMAL A NIVEL LICENCIATURA);Av. America Nº. 145;La Paz;no brinda esta informacón;academiahelios@hayoo.es;http://www.academiahelios.org;
54;ACADEMIA TENIENTE TECNIMOD ;FABRICACIÓN Y COMERCIALIZACION DE PRENDAS DE VESTIR, PREPARADO Y TEÑIDO DE PIELES, Y ARTICULOS DE PIELCUERO;C. Coroico Nº. 1446;La Paz;no brinda esta informacón;info@academiatenientebolimod.com;www.academiatenientebolimod.com;
55;ACCES.COM;COMERCIALIZACIÓN DE EQUIPOS DE COMPUTACIÓN E INSUMOS;Av. Baptista Nº.1225;La Paz;Doña Pamela;"""acces_comp@hotmail.com";no brinda esta informacion;
56;ACCESO;ACTIVIDADES DE ESPARCIMIENTO, CULTURALES Y DEPORTIVAS (COMUNICACIÓN SOCIAL, PERIODISMOS, RADIO, TV, TEATRO, MÚSICA, DEPORTES);Av. Armentia Nro. 397 Edif. Paladium Zona Norte;La Paz;No brinda información;juanjosec777@hotmail.com;No brinda información;
57;ACCESORIOS DE COMPUTADORAS;VENTA, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (MECÁNICA AUTOMOTRIZ);C. Calatayud Nº. 582 Z. Rosario;La Paz;No brinda Información;No brinda Información;No brinda Información;
58;ACCESORIOS PARA AUTOS;VENTA, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (MECÁNICA AUTOMOTRIZ);Av. Entre Rios # 1349 Zona Alto Tejar;La Paz;No brinda información;No brinda información;No brinda información;
59;ACCESORIOS PARA MUJER;PELUQUERIA, PEINADOS Y COSMETOLOGIA;Calle 21 Zona Sur San Miguel;La Paz;No brinda información;carolasindy@hotmail.com;No brinda información;
60;ACCION RURAL S.R.L;ACTIVIDADES INMOBILIARIAS;Z. Alto Seguencoma Av. Del Policia Calle 5 N° 51;La Paz;No Disponible;terrazasmirko@gmail.com;No Disponible;
61;ACCOUNTING CONSULTING GROUP S.R.L. (AC GROUP SRL);ACTIVIDADES EMPRESARIALES A NIVEL NACIONAL E INTERNACIONAL (MARKETIN, SECRETARIALES, GESTIÓN, ASESORAMIENTO, PUBLICIDAD);C. Reyes Ortiz Nº. 73, Ed. Torres Gundlacha;La Paz;Jose Carlos Butron Choque;online@acgroup-bo.com;www.acgnm.com;
62;ACDI / VOCA OF. LA PAZ;ACTIVIDADES EMPRESARIALES A NIVEL NACIONAL E INTERNACIONAL (MARKETIN, SECRETARIALES, GESTIÓN, ASESORAMIENTO, PUBLICIDAD);C.11 Nº. 480;La Paz;Cristobal Aguilar;info@acdivoca.org.bo;www.acdivocabolivia.org;
63;ACDI / VOCA OF. LA PAZ;NO IDENTIFICADO;C.11 Nº. 480;La Paz;Cristobal Aguilar;info@ascivoca.org.bo;Sitio Web No disponible;
64;ACE GAS;NO IDENTIFICADO EL TIPO;Villa Dolores Plaza Juana Azurduy de Padilla Nº 1125;La Paz;Ana Maria Mamani Guajllire;acegasc@gamil.com;Página Web no disponible;
65;"ACEROS GALVANIZADOS SRL "" ACERGAL"" (Fabricación de calaminas y flejes garvanizados)";FABRICACIÓN DE PRODUCTOS METALURGICOS BÁSICOS (HIERRO, ACERO, METALES PRECIOSOS Y FUNDICIÓN);Z. 16 de julio - El Alto, C. Nery. N° 2869;La Paz;Hector Rómulo Vasquez Choque;acergal_hector@hotmail.com / acergal_hector@gmail.com;No brinda este dato;
66;ACEROS SOLIZ;NO IDENTIFICADO EL TIPO;no brinda informacion;La Paz;Juan Soliz Briggez;no brinda información;no brinda información;
67;ACG (ASOCIADOS, AUDITORES Y CONSULTORES EN ADMINISTRACION S.R.L.);ACTIVIDADES INMOBILIARIAS;Z. Villa Victoria C. Collana N° 462;La Paz;No Disponible;vicotueno@hotmail.com;No Disponible;
68;ACONCAL S.A.;IMPORTACION, EXPORTACION O FABRICACIÓN DE SUSTANCIAS Y PRODUCTOS QUIMICOS (PESTICIDAS, PINTURAS, BARNICES,PROD. FARMACEUTICOS, COSMÉTICOS, JABONES, DETERGENTES, PERFUMES);C. Mercado Nº. 1328 Ed. Mariscal Ballivian P. 13 Of. 1302;La Paz;Juan Fernandez Criales;aconcal@entelnet.bo;www.aconcal.com;
69;ACOPIO;NO IDENTIFICADO EL TIPO;Av. Entre Rios # 2164 Alto Mariscal Santa Cruz;La Paz;No Disponible;No Disponible;No Disponible;
70;ACTERNA COMUNICACIONES LTDA.;NO IDENTIFICADO EL TIPO;C. Guerrilleros Lanza Nº. 1437 Esq. Héroes del Pacífico P.1 Zona Miraflores;La Paz;Franklin Lujan Gonzales;info@grupoacterna.net;www.grupoacterna.ne;
71;ACTION BOLIVIA;"ACTIVIDADES COMPLEMENTARIAS Y AUXILIARES AL TRANSPORTE; ACTIVIDADES DE AGENCIAS DE VIAJES, GUIAS DE TURÍSMO, ADMINSITRACIÓN TURÍSTICA)";Z. Central Av. Mariscal Santa Cruz N° 2150 Ed. Esperanza P.10 Of. 3a;La Paz;No Disponible;actionbolivia@gmail.com;No Disponible;
72;ACTIVIDAD DE DESARROLLO;EXPLOTACIÓN DE MINERALES NO METÁLICOS (PIEDRA, ARENA, ARCILLA, CAL, YESO, SAL, PIEDRAS PRECIOSAS Y SEMIPRECIOSAS);Z. Central C. Colombia Ed. Colombia Nº 207 Of. 2;La Paz;No brinda este dato;vasluc@hotmail.com;Página Web no disponible;
73;ACUARIO;SERVICIOS DE FUNERARIA;Baptista frente Cementerio General Nº.1162;La Paz;Teresa Maldonado Fuentes;No brinda este dato;Página Web no disponible;
74;ACUARIO RESIDENCIAL;HOTELES, RESTAURANTES, BARES, SERVICIOS VINCULADOS (CAMARERAS, BARMAN, GARZONES, ADMINISTRACIION HOTELERA);V. Fátima Av. Tejada Sorzano Nº. 33;La Paz;No brinda este dato;No brinda este dato;No brinda este dato;
75;ADA BOLIVIA;DISTRIBUCION, IMPORTACIÓN, VENTAS DE DIFERENTES PRODUCTOS, MATERIA PRIMA PARA DIFERENTES EMPRESAS;"Av. Mariscal Santa Cruz Nº. 1364 Ed. La primera, bloque ""A"" pìso 12 Of. 4";La Paz;Johovana la Fuente Choque;ada_bolivia@hotmail.com, info@adabolivia.com;www.adabolivia.com;
76;ADAI;SERVICIOS SOCIALES Y DE SALUD (RELACIONADAS CON LA SALUD HUMANA, ENFERMERIA,PROTESIS DENTAL), VETERINARIA Y PRODUCTOS NATURALES;Av. 6 de Agosto. Galeria Illimani. Of. 10 Zona Sopocachi;La Paz;No brinda información;hassayel@hotmail.com;No brinda información;
77;ADDIS;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS, REPOSTERIA, PANADERIA, PASTELERIA Y BEBIDAS;Av. Tejada Sorzano< Nº 306;La Paz;No brinda esta información;No brinda esta información;No brinda esta información;
78;ADEFER (SERIGRAFIA GRAL.);ACTIVIDADES DE EDICIÓN E IMPRESIÓN Y DE REPRODUCCIÓN DE GRABACIONES (LIBROS, FOLLETOS PERIÓDICOS) Y ACTIVIDADES RELACIONADAS;Z. Vita Av. Las Muñecas Nº591;La Paz;No brinda este dato;No brinda este dato;Sitio Web No disponible;
79;ADELITA;PELUQUERIA, PEINADOS Y COSMETOLOGIA;Av. Armentia y Chacaltaya S/N Zona Norte;La Paz;No brinda información;No brinda información;No brinda información;
80;ADELITA;PELUQUERIA, PEINADOS Y COSMETOLOGIA;Av. Armentia y Chacaltaya S/N Z. Norte;La Paz;No brinda Información;No brinda Información;No brinda Información;
81;ADM. TECHNOLOGIES S.A. (SUCURSAL BOLIVIA);CORREO Y TELECOMUNICACIONES;Av. Sánchez Lima N°. 2324;La Paz;David Cabessa;contacto@adm-tec.com;http://gmlpsr0023/infoempresa/Administracion/empresas.aspx;
82;ADMINISTRADORA Y PROVEEDORA DE UNIDADES DE SALUD LIMITADA;SERVICIOS SOCIALES Y DE SALUD (RELACIONADAS CON LA SALUD HUMANA, ENFERMERIA,PROTESIS DENTAL), VETERINARIA Y PRODUCTOS NATURALES;Z. Central C. Yanacocha N° 300 Ed. Asbun Nuevo P. 5 Of. 504;La Paz;No Disponible;jcwayar@yahoo.es;No Disponible;
83;ADO CORP;INGENIEROS (CONTRUCCIÓN DE INFRAESTRUCTURA VIAL PÚBLICA Y PRIVADA);Z.Central Av. 16 De Julio (el Prado) N° 1479 Ed. San Pablo P. 6 Of. 607;La Paz;No Disponible;No Disponible;No Disponible;
84;ADO CORP;INGENIEROS (CONTRUCCIÓN DE INFRAESTRUCTURA VIAL PÚBLICA Y PRIVADA);Z. Central Av. 16 De Julio (el Prado) N° 1479 Ed. San Pablo P.6 Of. 607;La Paz;No Disponible;No Disponible;No Disponible;
85;ADP;ACTIVIDADES DE EDICIÓN E IMPRESIÓN Y DE REPRODUCCIÓN DE GRABACIONES (LIBROS, FOLLETOS PERIÓDICOS) Y ACTIVIDADES RELACIONADAS;C. Juan de la Riva Nº. 1591 Z. Centro;La Paz;Ángel Méndez;No Disponible;No Disponible;
86;ADRIACTICA;SERVICIOS SOCIALES Y DE SALUD (RELACIONADAS CON LA SALUD HUMANA, ENFERMERIA,PROTESIS DENTAL), VETERINARIA Y PRODUCTOS NATURALES;C.GOITIA #188 ESQ. CAP. RAVELO;La Paz;No Brinda esta informacion;cidesalp@ceibo.entelnet.bo;No disponible;
87;ADRIGRAFICA (IMPRESORES);ACTIVIDADES DE EDICIÓN E IMPRESIÓN Y DE REPRODUCCIÓN DE GRABACIONES (LIBROS, FOLLETOS PERIÓDICOS) Y ACTIVIDADES RELACIONADAS;Z. Villa Fatima C. Santa Rosa N° 568;La Paz;No Disponible;No Disponible;No Disponible;
88;ADRIGRAFICA (IMPRESORES);ACTIVIDADES DE EDICIÓN E IMPRESIÓN Y DE REPRODUCCIÓN DE GRABACIONES (LIBROS, FOLLETOS PERIÓDICOS) Y ACTIVIDADES RELACIONADAS;Z. Villa Fatima C. Santa Rosa N° 568;La Paz;No Disponible;No Disponible;No Disponible;
89;ADVANCED, BUSINESS, STRATEGIES, CONSULTING GROUP SOCIEDAD DE RESPONSABILIDAD LIMITADA;ACTIVIDADES INMOBILIARIAS;Z. Sopocachi Belisario Salinas N° 350;La Paz;No Disponible;info@abs-cgroup.com;No Disponible;
90;ADVANCED, BUSINESS,STRATEGIES CONSULTING GROUP S;NO IDENTIFICADO EL TIPO;Ed. San Pablo Piso 14 Of. 1407;La Paz;RL Maria del Rosario Santa Cruz;No Brinda Información;No Brinda Información;
91;AERO TOYS SRL.;ARTESANIAS (PINTURA EN TELA, EN MADERA, PORCELANA FRÍA, COTILLON, PEDRERÍA, MUÑEQUERIA);Z. Bajo Llojeta C. 2 Av. Los Sargentos Nº. 817;La Paz;Andres Sillerico;aneco09@gmail.com;www.aerotoysboliviablogspot.com;
92;AEROMARKET S.R.L.;ACTIVIDADES DE ESPARCIMIENTO, CULTURALES Y DEPORTIVAS (COMUNICACIÓN SOCIAL, PERIODISMOS, RADIO, TV, TEATRO, MÚSICA, DEPORTES);Av. Villazon N°. 1940 Ed. Inchaunte Zelaya P. 2 Of. 201;La Paz;Virginia Escobar de Kieffer;www.aeroket.com.bo;no disponible;
93;AFIMUR;FABRICACIÓN DE SOMMIER BASE METALICA, ESPALDARES, ALMOHADAS Y COLCHONES;Z. Central C. Murillo Nº.1188;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
94;AFIMUR (Muebles de metal);"FABRICACIÓN DE MUEBLES DE HOGAR,OFICINA, DE MADERA ,COLCHONES ;OTRAS IND. MANUF. (JOYAS, INSTRUMENTOS MUSICALES, JUEGOS Y JUGUETES)";Z. Centro C. Murillo Nº 1190;La Paz;Miriam Soria;No Disponible;No Disponible;
95;AFIN (CENTRO INTERNACIONAL DE APOYO A LAS INNOVACIONES FINANCIERAS);ACTIVIDADES EMPRESARIALES, Y FINANCIERAS (MARKETIN, SECRETARIALES, DE PERSONAL, JURÍDICAS, CONTABLES, DE IMPUESTOS, GESTIÓN, ASESORAMIENTO, PUBLICIDAD);Z. Sopocachi, C. Macario Pinilla Nº. 262;La Paz;Carla Valdez Barrero;Ifperedo@centroafin.org;www.centroafin.org;
96;AG DETALLES ARTE Y REGALOS SRL;VENTA DE MATERIAL DE ESCRITORIO, LIBROS, PAPELERIA Y BAZAR;Z. Miraflores Av. Busch N° 1759 Edi. Girasoles 2 Dpto 13 P. 13 Of. 2;La Paz;No Disponible;No Disponible;No Disponible;
97;AGAMENON (INVERSIONES MINERALES);EXPLOTACIÓN DE MINERALES NO METÁLICOS (PIEDRA, ARENA, ARCILLA, CAL, YESO, SAL, PIEDRAS PRECIOSAS Y SEMIPRECIOSAS);Z. Sopocachi C. Luis Crespo Pasaje 9 N° 2645;La Paz;No Disponible;No Disponible;No Disponible;
